,zip,universal-id,nces-id,state-id,name,school-summary,type,level-codes,level,street,city,state,fipscounty,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url,rating,year,rating-description,lat_lon
56,30309,1300061,130012000066,7614560,Midtown High School,"Midtown High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",929 Charles Allen Drive Northeast,Atlanta,GA,13121,(404) 802-3001,(404) 853-4099,Fulton County,33.780567,-84.372711,Atlanta Public Schools,4,http://www.gradyhighschool.org/,https://www.greatschools.org/georgia/atlanta/61-Grady-High-School/,7,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.780567, -84.372711)"
64,30307,1300720,130174000665,6442055,Druid Hills High School,"Druid Hills High School, a public school located in Atlanta, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",1798 Haygood Drive Northeast,Atlanta,GA,13089,(678) 874-6302,(678) 874-6310,Dekalb County,33.793098,-84.315834,Dekalb County School District,55,http://www.dekalb.k12.ga.us/druidhills,https://www.greatschools.org/georgia/atlanta/720-Druid-Hills-High-School/,6,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.793098, -84.315834)"
87,30316,1300120,130012001939,7610186,Maynard H. Jackson- Jr. High School,"Maynard H. Jackson- Jr. High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",801 Glenwood Avenue Southeast,Atlanta,GA,13121,(404) 802-5200,(404) 624-2111,Fulton County,33.739578,-84.361771,Atlanta Public Schools,4,http://www.atlanta.k12.ga.us/Domain/3508,https://www.greatschools.org/georgia/atlanta/120-Maynard-H.-Jackson--Jr.-High-School/,5,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.739578, -84.361771)"
140,30311,1300063,130012004215,7611409,Therrell High School,"Therrell High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3099 Panther Trail Southwest,Atlanta,GA,13121,(404) 802-5300,(404) 346-3097,Fulton County,33.699608,-84.48896,Atlanta Public Schools,4,http://www.apskids.org/therrell/,https://www.greatschools.org/georgia/atlanta/63-Therrell-High-School/,4,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.699608, -84.48896)"
151,30344,1301034,130228002124,6600691,Tri-Cities High School,"Tri-Cities High School, a public school located in East Point, GA, serves grades 9-12 in the Fulton County School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",2575 Harris Street,East Point,GA,13121,(470) 254-8200,(404) 669-8158,Fulton County,33.684666,-84.436386,Fulton County School District,73,http://school.fultonschools.org/hs/tricities/Pages/,https://www.greatschools.org/georgia/east-point/1034-Tri-Cities-High-School/,3,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.684666, -84.436386)"
181,30305,1308627,130012004145,7610415,Atlanta Classical Academy,"Atlanta Classical Academy, a charter school located in Atlanta, GA, serves grades K-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",3260 Northside Drive Northwest,Atlanta,GA,13121,(404) 369-3500,(404) 795-1049,Fulton County,33.843563,-84.407898,Atlanta Public Schools,4,http://www.atlantaclassical.org/,https://www.greatschools.org/georgia/atlanta/8627-Atlanta-Classical-Academy/,6,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.843563, -84.407898)"
198,30030,1300682,130168000802,7733050,Decatur High School,"Decatur High School, a public school located in Decatur, GA, serves grades 9-12 in the Decatur City School District.It has received a GreatSchools Rating of 8 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",310 North McDonough Street,Decatur,GA,13089,(404) 370-4420,(404) 370-4434,Dekalb County,33.77211,-84.297981,Decatur City School District,53,http://www.decatur-city.k12.ga.us,https://www.greatschools.org/georgia/decatur/682-Decatur-High-School/,8,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.77211, -84.297981)"
247,30032,1300739,130174000686,6444069,Towers High School,"Towers High School, a public school located in Decatur, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3919 Brookcrest Circle,Decatur,GA,13089,(678) 874-2202,(678) 874-2210,Dekalb County,33.746929,-84.237183,Dekalb County School District,55,http://www.towershs.dekalb.k12.ga.us/,https://www.greatschools.org/georgia/decatur/739-Towers-High-School/,3,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.746929, -84.237183)"
268,30002,1306486,130174003884,6440410,Dekalb School Of The Arts,"Dekalb School Of The Arts, a public school located in Avondale Estates, GA, serves grades 8-12 in the Dekalb County School District.It has received a GreatSchools Rating of 8 out of 10, based on a variety of school quality measures.",public,"m,h","8,9,10,11,12",1192 Clarendon Avenue,Avondale Estates,GA,13089,(678) 676-2502,(678) 676-2510,Dekalb County,33.759178,-84.266724,Dekalb County School District,55,http://www.dekalb.k12.ga.us/dsa/,https://www.greatschools.org/georgia/avondale-estates/6486-Dekalb-School-Of-The-Arts/,8,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.759178, -84.266724)"
274,30327,1300124,130012002212,7610192,North Atlanta High School,"North Atlanta High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",4111 Northside Parkway Northwest,Atlanta,GA,13121,(404) 802-4700,(404) 351-8763,Fulton County,33.866638,-84.445,Atlanta Public Schools,4,http://www.northatlantahigh.org/,https://www.greatschools.org/georgia/atlanta/124-North-Atlanta-High-School/,7,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.866638, -84.445)"
291,30331,1301005,130228001031,6605069,Westlake High School,"Westlake High School, a public school located in Atlanta, GA, serves grades 9-12 in the Fulton County School District.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",2400 Union Road Southwest,Atlanta,GA,13121,(470) 254-6400,(404) 346-6410,Fulton County,33.689373,-84.575768,Fulton County School District,73,http://school.fultonschools.org/hs/westlake/pages/default.aspx,https://www.greatschools.org/georgia/atlanta/1005-Westlake-High-School/,7,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.689373, -84.575768)"
293,30331,1300118,130012001865,7610182,Mays High School,"Mays High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3450 Benjamin E Mays Drive Southwest,Atlanta,GA,13121,(404) 802-5100,(404) 699-6781,Fulton County,33.734257,-84.5037,Atlanta Public Schools,4,http://www.mayshigh.com/,https://www.greatschools.org/georgia/atlanta/118-Mays-High-School/,2,2022.0,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process.","(33.734257, -84.5037)"
